Transaction,Project No,Branch,Manager,Type,Cost,Document type
25-Apr-12,P1084,6060,JMOLLOY,PY,147,TS
2-May-12,P1084,6060,JMOLLOY,PY,784,TS
2-May-12,P1084,6060,JMOLLOY,PY,294,TS
2-May-12,P1084,6060,JMOLLOY,PY,784,TS
2-May-12,P1084,6060,JMOLLOY,PY,294,TS
2-May-12,P1084,6060,JMOLLOY,PY,294,TS
2-May-12,P1084,6060,JMOLLOY,PY,588,TS
2-May-12,P1084,6060,JMOLLOY,PY,784,TS
2-May-12,P1084,6060,JMOLLOY,PY,147,TS
2-May-12,P1084,6060,JMOLLOY,PY,784,TS
2-May-12,P1084,6060,JMOLLOY,PY,147,TS
9-May-12,P1084,6060,JMOLLOY,PY,784,TS
9-May-12,P1084,6060,JMOLLOY,PY,294,TS
9-May-12,P1084,6060,JMOLLOY,PY,784,TS
9-May-12,P1084,6060,JMOLLOY,PY,294,TS
9-May-12,P1084,6060,JMOLLOY,PY,294,TS
9-May-12,P1084,6060,JMOLLOY,PY,784,TS
9-May-12,P1084,6060,JMOLLOY,PY,784,TS
9-May-12,P1084,6060,JMOLLOY,PY,294,TS
9-May-12,P1084,6060,JMOLLOY,PY,784,TS
9-May-12,P1084,6060,JMOLLOY,PY,294,TS
16-May-12,P1084,6060,JMOLLOY,PY,784,TS
16-May-12,P1084,6060,JMOLLOY,PY,294,TS
16-May-12,P1084,6060,JMOLLOY,PY,784,TS
16-May-12,P1084,6060,JMOLLOY,PY,294,TS
16-May-12,P1084,6060,JMOLLOY,PY,784,TS
16-May-12,P1084,6060,JMOLLOY,PY,294,TS
16-May-12,P1084,6060,JMOLLOY,PY,784,TS
16-May-12,P1084,6060,JMOLLOY,PY,294,TS
